Depth (m),qc (MPa),qt (MPa),fs (kPa),u (kPa),u0 (kPa)
0.13,-8888,0,-8888,-8888,0
0.15,-8888,0,-8888,-8888,0
0.17,-8888,0,-8888,-8888,0
0.2,-8888,0,-8888,-8888,0
0.23,-8888,0,-8888,-8888,0
0.25,-8888,0,-8888,-8888,0
0.28,-8888,0,-8888,-8888,0
0.3,-8888,0,-8888,-8888,0
0.33,-8888,0,-8888,-8888,0
0.35,-8888,0,-8888,-8888,0
0.38,-8888,0,-8888,-8888,0
0.4,-8888,0,-8888,-8888,0
0.42,-8888,0,-8888,-8888,0
0.45,-8888,0,-8888,-8888,0
0.47,-8888,0,-8888,-8888,0
0.5,-8888,0,-8888,-8888,0
0.53,-8888,0,-8888,-8888,0
0.55,-8888,0,-8888,-8888,0
0.57,-8888,0,-8888,-8888,0
0.6,-8888,0,-8888,-8888,0
0.63,-8888,0,-8888,-8888,0
0.65,-8888,0,-8888,-8888,0
0.68,-8888,0,-8888,-8888,0
0.7,-8888,0,-8888,-8888,0
0.72,-8888,0,-8888,-8888,0
0.75,-8888,0,-8888,-8888,0
0.78,-8888,0,-8888,-8888,0
0.8,-8888,0,-8888,-8888,0
0.82,-8888,0,-8888,-8888,0
0.85,-8888,0,-8888,-8888,0
0.88,-8888,0,-8888,-8888,0
0.9,-8888,0,-8888,-8888,0
0.93,-8888,0,-8888,-8888,0
0.95,-8888,0,-8888,-8888,0
0.97,-8888,0,-8888,-8888,0
1,-8888,0,-8888,-8888,0
1.02,-8888,0,-8888,-8888,0
1.05,-8888,0,-8888,-8888,0
1.07,-8888,0,-8888,-8888,0
1.1,-8888,0,-8888,-8888,0
1.13,-8888,0,-8888,-8888,0
1.15,-8888,0,-8888,-8888,0
1.18,-8888,0,-8888,-8888,0
1.2,-8888,0,-8888,-8888,0
1.23,-8888,0,-8888,-8888,0
1.25,-8888,0,-8888,-8888,0
1.27,-8888,0,-8888,-8888,0
1.3,-8888,0,-8888,-8888,0
1.32,-8888,0,-8888,-8888,0
